academic_year,faculty,department,program_name,program_code,score_type,scholarship_type,quota,placed_students,vacant_quota,occupancy_rate,base_score,highest_score,success_rank
2025,İnsan ve Toplum Bilimleri Fakültesi,Psikoloji,Psikoloji (İngilizce) (%50 İndirimli) (4 Yıllık),,EA,%50 İndirimli,55,34,,0.618182,,,
2024,İnsan ve Toplum Bilimleri Fakültesi,Psikoloji,Psikoloji (İngilizce) (%50 İndirimli) (4 Yıllık),,EA,%50 İndirimli,36,36,,1,308.85608,,294551
2023,İnsan ve Toplum Bilimleri Fakültesi,Psikoloji,Psikoloji (İngilizce) (%50 İndirimli) (4 Yıllık),,EA,%50 İndirimli,17,17,,1,324.3884,,266932
2022,İnsan ve Toplum Bilimleri Fakültesi,Psikoloji,Psikoloji (İngilizce) (%50 İndirimli) (4 Yıllık),,EA,%50 İndirimli,,,,,,,
2025,İnsan ve Toplum Bilimleri Fakültesi,Siyaset Bilimi ve Kamu Yönetimi,Siyaset Bilimi ve Kamu Yönetimi (İngilizce) (%50 İndirimli) (4 Yıllık),,EA,%50 İndirimli,42,11,,0.261905,,,
2024,İnsan ve Toplum Bilimleri Fakültesi,Siyaset Bilimi ve Kamu Yönetimi,Siyaset Bilimi ve Kamu Yönetimi (İngilizce) (%50 İndirimli) (4 Yıllık),,EA,%50 İndirimli,34,25,,0.735294,,,
2023,İnsan ve Toplum Bilimleri Fakültesi,Siyaset Bilimi ve Kamu Yönetimi,Siyaset Bilimi ve Kamu Yönetimi (İngilizce) (%50 İndirimli) (4 Yıllık),,EA,%50 İndirimli,25,25,,1,232.69205,,1107859
2022,İnsan ve Toplum Bilimleri Fakültesi,Siyaset Bilimi ve Kamu Yönetimi,Siyaset Bilimi ve Kamu Yönetimi (İngilizce) (%50 İndirimli) (4 Yıllık),,EA,%50 İndirimli,13,13,,1,255.85541,,807369
2025,İnsan ve Toplum Bilimleri Fakültesi,Yönetim Bilişim Sistemleri,Yönetim Bilişim Sistemleri (%50 İndirimli) (4 Yıllık),,EA,%50 İndirimli,53,41,,0.773585,,,
2024,İnsan ve Toplum Bilimleri Fakültesi,Yönetim Bilişim Sistemleri,Yönetim Bilişim Sistemleri (%50 İndirimli) (4 Yıllık),,EA,%50 İndirimli,39,39,,1,261.32726,,695071
2023,İnsan ve Toplum Bilimleri Fakültesi,Yönetim Bilişim Sistemleri,Yönetim Bilişim Sistemleri (%50 İndirimli) (4 Yıllık),,EA,%50 İndirimli,32,32,,1,276.30139,,605844
2022,İnsan ve Toplum Bilimleri Fakültesi,Yönetim Bilişim Sistemleri,Yönetim Bilişim Sistemleri (%50 İndirimli) (4 Yıllık),,EA,%50 İndirimli,,,,,,,
2025,İnsan ve Toplum Bilimleri Fakültesi,Yönetim Bilişim Sistemleri,Yönetim Bilişim Sistemleri (İngilizce) (%50 İndirimli) (4 Yıllık),,EA,%50 İndirimli,53,25,,0.471698,,,
2024,İnsan ve Toplum Bilimleri Fakültesi,Yönetim Bilişim Sistemleri,Yönetim Bilişim Sistemleri (İngilizce) (%50 İndirimli) (4 Yıllık),,EA,%50 İndirimli,38,38,,1,257.45686,,739840
2023,İnsan ve Toplum Bilimleri Fakültesi,Yönetim Bilişim Sistemleri,Yönetim Bilişim Sistemleri (İngilizce) (%50 İndirimli) (4 Yıllık),,EA,%50 İndirimli,29,29,,1,290.40797,,484173
2022,İnsan ve Toplum Bilimleri Fakültesi,Yönetim Bilişim Sistemleri,Yönetim Bilişim Sistemleri (İngilizce) (%50 İndirimli) (4 Yıllık),,EA,%50 İndirimli,19,19,,1,279.38817,,567613
2025,İnsan ve Toplum Bilimleri Fakültesi,İngilizce Mütercim ve Tercümanlık,İngilizce Mütercim ve Tercümanlık (Burslu) (4 Yıllık),,DİL,Burslu,7,9,,1.285714,428.96149,,11553
2024,İnsan ve Toplum Bilimleri Fakültesi,İngilizce Mütercim ve Tercümanlık,İngilizce Mütercim ve Tercümanlık (Burslu) (4 Yıllık),,DİL,Burslu,6,7,,1.166667,436.96631,,11900
2023,İnsan ve Toplum Bilimleri Fakültesi,İngilizce Mütercim ve Tercümanlık,İngilizce Mütercim ve Tercümanlık (Burslu) (4 Yıllık),,DİL,Burslu,6,7,,1.166667,439.44784,,13801
2022,İnsan ve Toplum Bilimleri Fakültesi,İngilizce Mütercim ve Tercümanlık,İngilizce Mütercim ve Tercümanlık (Burslu) (4 Yıllık),,DİL,Burslu,5,5,,1,429.7497,,14432
2025,İnsan ve Toplum Bilimleri Fakültesi,İngilizce Mütercim ve Tercümanlık,İngilizce Mütercim ve Tercümanlık (%50 İndirimli) (4 Yıllık),,DİL,%50 İndirimli,45,45,,1,234.48549,,104416
2024,İnsan ve Toplum Bilimleri Fakültesi,İngilizce Mütercim ve Tercümanlık,İngilizce Mütercim ve Tercümanlık (%50 İndirimli) (4 Yıllık),,DİL,%50 İndirimli,34,34,,1,286.50546,,80757
2023,İnsan ve Toplum Bilimleri Fakültesi,İngilizce Mütercim ve Tercümanlık,İngilizce Mütercim ve Tercümanlık (%50 İndirimli) (4 Yıllık),,DİL,%50 İndirimli,30,30,,1,302.74206,,72907
2022,İnsan ve Toplum Bilimleri Fakültesi,İngilizce Mütercim ve Tercümanlık,İngilizce Mütercim ve Tercümanlık (%50 İndirimli) (4 Yıllık),,DİL,%50 İndirimli,22,22,,1,311.61858,,57770
2025,İnsan ve Toplum Bilimleri Fakültesi,İngilizce Mütercim ve Tercümanlık,İngilizce Mütercim ve Tercümanlık (Ücretli) (4 Yıllık),,DİL,Ücretli,2,,,,,,
2024,İnsan ve Toplum Bilimleri Fakültesi,İngilizce Mütercim ve Tercümanlık,İngilizce Mütercim ve Tercümanlık (Ücretli) (4 Yıllık),,DİL,Ücretli,7,7,,1,214.07769,,130027
2023,İnsan ve Toplum Bilimleri Fakültesi,İngilizce Mütercim ve Tercümanlık,İngilizce Mütercim ve Tercümanlık (Ücretli) (4 Yıllık),,DİL,Ücretli,11,10,,0.909091,,,
2022,İnsan ve Toplum Bilimleri Fakültesi,İngilizce Mütercim ve Tercümanlık,İngilizce Mütercim ve Tercümanlık (Ücretli) (4 Yıllık),,DİL,Ücretli,6,6,,1,298.66595,,63102
2025,Meslek Yüksekokulu,İnsansız Hava Aracı Teknolojisi ve Operatörlüğü,İnsansız Hava Aracı Teknolojisi ve Operatörlüğü (Burslu) (2 Yıllık),,TYT,Burslu,8,8,,1,382.33202,,230794
2024,Meslek Yüksekokulu,İnsansız Hava Aracı Teknolojisi ve Operatörlüğü,İnsansız Hava Aracı Teknolojisi ve Operatörlüğü (Burslu) (2 Yıllık),,TYT,Burslu,6,6,,1,386.59064,,235485
2023,Meslek Yüksekokulu,İnsansız Hava Aracı Teknolojisi ve Operatörlüğü,İnsansız Hava Aracı Teknolojisi ve Operatörlüğü (Burslu) (2 Yıllık),,TYT,Burslu,6,6,,1,362.60825,,349320
2022,Meslek Yüksekokulu,İnsansız Hava Aracı Teknolojisi ve Operatörlüğü,İnsansız Hava Aracı Teknolojisi ve Operatörlüğü (Burslu) (2 Yıllık),,TYT,Burslu,,,,,,,
2025,Meslek Yüksekokulu,Bilişim Güvenliği Teknolojisi,Bilişim Güvenliği Teknolojisi (Burslu) (2 Yıllık),,TYT,Burslu,8,8,,1,364.97837,,311416
2024,Meslek Yüksekokulu,Bilişim Güvenliği Teknolojisi,Bilişim Güvenliği Teknolojisi (Burslu) (2 Yıllık),,TYT,Burslu,6,6,,1,363.81931,,333864
2023,Meslek Yüksekokulu,Bilişim Güvenliği Teknolojisi,Bilişim Güvenliği Teknolojisi (Burslu) (2 Yıllık),,TYT,Burslu,6,6,,1,360.70315,,359840
2022,Meslek Yüksekokulu,Bilişim Güvenliği Teknolojisi,Bilişim Güvenliği Teknolojisi (Burslu) (2 Yıllık),,TYT,Burslu,,,,,,,
2025,Meslek Yüksekokulu,Bilgisayar Programcılığı,Bilgisayar Programcılığı (Burslu) (2 Yıllık),,TYT,Burslu,8,8,,1,364.85377,,312043
2024,Meslek Yüksekokulu,Bilgisayar Programcılığı,Bilgisayar Programcılığı (Burslu) (2 Yıllık),,TYT,Burslu,8,8,,1,377.45452,,271245
2023,Meslek Yüksekokulu,Bilgisayar Programcılığı,Bilgisayar Programcılığı (Burslu) (2 Yıllık),,TYT,Burslu,6,6,,1,372.75183,,298162
2022,Meslek Yüksekokulu,Bilgisayar Programcılığı,Bilgisayar Programcılığı (Burslu) (2 Yıllık),,TYT,Burslu,,,,,,,
2025,Meslek Yüksekokulu,Bilgisayar Destekli Tasarım ve Animasyon,Bilgisayar Destekli Tasarım ve Animasyon (Burslu) (2 Yıllık),,TYT,Burslu,8,8,,1,345.9987,,424335
2024,Meslek Yüksekokulu,Bilgisayar Destekli Tasarım ve Animasyon,Bilgisayar Destekli Tasarım ve Animasyon (Burslu) (2 Yıllık),,TYT,Burslu,6,6,,1,351.20336,,404547
2023,Meslek Yüksekokulu,Bilgisayar Destekli Tasarım ve Animasyon,Bilgisayar Destekli Tasarım ve Animasyon (Burslu) (2 Yıllık),,TYT,Burslu,6,6,,1,350.56439,,420909
2022,Meslek Yüksekokulu,Bilgisayar Destekli Tasarım ve Animasyon,Bilgisayar Destekli Tasarım ve Animasyon (Burslu) (2 Yıllık),,TYT,Burslu,,,,,,,
2025,Meslek Yüksekokulu,Web Tasarımı ve Kodlama,Web Tasarımı ve Kodlama (Burslu) (2 Yıllık),,TYT,Burslu,8,8,,1,343.4739,,441458
2024,Meslek Yüksekokulu,Web Tasarımı ve Kodlama,Web Tasarımı ve Kodlama (Burslu) (2 Yıllık),,TYT,Burslu,4,4,,1,346.8607,,432445
2023,Meslek Yüksekokulu,Web Tasarımı ve Kodlama,Web Tasarımı ve Kodlama (Burslu) (2 Yıllık),,TYT,Burslu,,,,,,,
2022,Meslek Yüksekokulu,Web Tasarımı ve Kodlama,Web Tasarımı ve Kodlama (Burslu) (2 Yıllık),,TYT,Burslu,,,,,,,
2025,Meslek Yüksekokulu,E-Ticaret ve Pazarlama,E-Ticaret ve Pazarlama (Burslu) (2 Yıllık),,TYT,Burslu,8,8,,1,329.4686,,549788
2024,Meslek Yüksekokulu,E-Ticaret ve Pazarlama,E-Ticaret ve Pazarlama (Burslu) (2 Yıllık),,TYT,Burslu,7,7,,1,341.10831,,472518
2023,Meslek Yüksekokulu,E-Ticaret ve Pazarlama,E-Ticaret ve Pazarlama (Burslu) (2 Yıllık),,TYT,Burslu,6,6,,1,335.15477,,532581
2022,Meslek Yüksekokulu,E-Ticaret ve Pazarlama,E-Ticaret ve Pazarlama (Burslu) (2 Yıllık),,TYT,Burslu,,,,,,,
2025,Meslek Yüksekokulu,İnsansız Hava Aracı Teknolojisi ve Operatörlüğü,İnsansız Hava Aracı Teknolojisi ve Operatörlüğü (%50 İndirimli) (2 Yıllık),,TYT,%50 İndirimli,51,51,,1,274.30809,,1189454
2024,Meslek Yüksekokulu,İnsansız Hava Aracı Teknolojisi ve Operatörlüğü,İnsansız Hava Aracı Teknolojisi ve Operatörlüğü (%50 İndirimli) (2 Yıllık),,TYT,%50 İndirimli,39,39,,1,282.15341,,1130776
2023,Meslek Yüksekokulu,İnsansız Hava Aracı Teknolojisi ve Operatörlüğü,İnsansız Hava Aracı Teknolojisi ve Operatörlüğü (%50 İndirimli) (2 Yıllık),,TYT,%50 İndirimli,34,34,,1,280.85574,,1132327
2022,Meslek Yüksekokulu,İnsansız Hava Aracı Teknolojisi ve Operatörlüğü,İnsansız Hava Aracı Teknolojisi ve Operatörlüğü (%50 İndirimli) (2 Yıllık),,TYT,%50 İndirimli,,,,,,,
2025,Meslek Yüksekokulu,Bilgisayar Programcılığı,Bilgisayar Programcılığı (%50 İndirimli) (2 Yıllık),,TYT,%50 İndirimli,51,51,,1,262.10938,,1365235
2024,Meslek Yüksekokulu,Bilgisayar Programcılığı,Bilgisayar Programcılığı (%50 İndirimli) (2 Yıllık),,TYT,%50 İndirimli,51,51,,1,271.51447,,1294348
2023,Meslek Yüksekokulu,Bilgisayar Programcılığı,Bilgisayar Programcılığı (%50 İndirimli) (2 Yıllık),,TYT,%50 İndirimli,34,34,,1,286.40062,,1055970
2022,Meslek Yüksekokulu,Bilgisayar Programcılığı,Bilgisayar Programcılığı (%50 İndirimli) (2 Yıllık),,TYT,%50 İndirimli,,,,,,,
2025,Meslek Yüksekokulu,Bilgisayar Destekli Tasarım ve Animasyon,Bilgisayar Destekli Tasarım ve Animasyon (%50 İndirimli) (2 Yıllık),,TYT,%50 İndirimli,51,38,,0.745098,,,
2024,Meslek Yüksekokulu,Bilgisayar Destekli Tasarım ve Animasyon,Bilgisayar Destekli Tasarım ve Animasyon (%50 İndirimli) (2 Yıllık),,TYT,%50 İndirimli,39,39,,1,239.4264,,1839719
2023,Meslek Yüksekokulu,Bilgisayar Destekli Tasarım ve Animasyon,Bilgisayar Destekli Tasarım ve Animasyon (%50 İndirimli) (2 Yıllık),,TYT,%50 İndirimli,34,34,,1,240.99385,,1773049
2022,Meslek Yüksekokulu,Bilgisayar Destekli Tasarım ve Animasyon,Bilgisayar Destekli Tasarım ve Animasyon (%50 İndirimli) (2 Yıllık),,TYT,%50 İndirimli,,,,,,,
2025,Meslek Yüksekokulu,Bilişim Güvenliği Teknolojisi,Bilişim Güvenliği Teknolojisi (%50 İndirimli) (2 Yıllık),,TYT,%50 İndirimli,51,39,,0.764706,,,
2024,Meslek Yüksekokulu,Bilişim Güvenliği Teknolojisi,Bilişim Güvenliği Teknolojisi (%50 İndirimli) (2 Yıllık),,TYT,%50 İndirimli,39,39,,1,260.22744,,1477944
2023,Meslek Yüksekokulu,Bilişim Güvenliği Teknolojisi,Bilişim Güvenliği Teknolojisi (%50 İndirimli) (2 Yıllık),,TYT,%50 İndirimli,34,34,,1,268.26353,,1317249
2022,Meslek Yüksekokulu,Bilişim Güvenliği Teknolojisi,Bilişim Güvenliği Teknolojisi (%50 İndirimli) (2 Yıllık),,TYT,%50 İndirimli,,,,,,,
2025,Meslek Yüksekokulu,E-Ticaret ve Pazarlama,E-Ticaret ve Pazarlama (%50 İndirimli) (2 Yıllık),,TYT,%50 İndirimli,51,13,,0.254902,,,
2024,Meslek Yüksekokulu,E-Ticaret ve Pazarlama,E-Ticaret ve Pazarlama (%50 İndirimli) (2 Yıllık),,TYT,%50 İndirimli,43,43,,1,218.90587,,2216733
2023,Meslek Yüksekokulu,E-Ticaret ve Pazarlama,E-Ticaret ve Pazarlama (%50 İndirimli) (2 Yıllık),,TYT,%50 İndirimli,34,34,,1,228.85225,,2000257
2022,Meslek Yüksekokulu,E-Ticaret ve Pazarlama,E-Ticaret ve Pazarlama (%50 İndirimli) (2 Yıllık),,TYT,%50 İndirimli,,,,,,,
2025,Meslek Yüksekokulu,Web Tasarımı ve Kodlama,Web Tasarımı ve Kodlama (%50 İndirimli) (2 Yıllık),,TYT,%50 İndirimli,51,30,,0.588235,,,
2024,Meslek Yüksekokulu,Web Tasarımı ve Kodlama,Web Tasarımı ve Kodlama (%50 İndirimli) (2 Yıllık),,TYT,%50 İndirimli,25,25,,1,243.0119,,1775752
2023,Meslek Yüksekokulu,Web Tasarımı ve Kodlama,Web Tasarımı ve Kodlama (%50 İndirimli) (2 Yıllık),,TYT,%50 İndirimli,,,,,,,
2022,Meslek Yüksekokulu,Web Tasarımı ve Kodlama,Web Tasarımı ve Kodlama (%50 İndirimli) (2 Yıllık),,TYT,%50 İndirimli,,,,,,,
