id,isim,universite,sure,tur,kosullar,siraid,fakulte,aciklama,il,unitur,onlisans,kontenjan2022,birinci2022,birincimaxpuan2022,birincipuan2022,birinciyerlesme2022,maxpuan2022,puan2022,sira2022,yerlesme2022,kiz2022,kiz2023,erkek2022,erkek2023,liseli2022,liseli2023,mezun2022,mezun2023,universiteli2022,universiteli2023,unimezunu2022,unimezunu2023,tercihtoplam2022,tercihtoplam2023,tercihbirinci2022,tercihbirinci2023,tercihilkuc2022,tercihilkuc2023,tercihilkdokuz2022,tercihilkdokuz2023,kontenjan2023,depremzedekontenjan2023,kadinkontenjan2023,sehitkontenjan2023,birinci2023,yerlesen2023,maxpuan2023,birinciyerlesen2023,birincipuan2023,depremzedeyerlesen2023,depremzedepuan2023,kadinyerlesen2023,kadinpuan2023,sehityerlesen2023,sehitpuan2023,ekkontenjan2023,eksehitkontenjan2023,ekkadinkontenjan2023,ekdepremzedekontenjan2023,sira2023,puan2023,kontenjan2024,birinci2024,sehitkontenjan2024,kadinkontenjan2024,depremzedekontenjan2024,puan2024,sira2024,maxpuan2024,yerlesen2024,birinciyerlesen2024
104850661,Harita ve Kadastro,HACETTEPE ÜNİVERSİTESİ,2,TYT,,17805.0,Başkent Organize Sanayi Bölgesi Teknik Bilimler Meslek Yüksekokulu,,ANKARA,DEVLET,1,50.0,2.0,0.0,0.0,0.0,370.01204,310.37107,691466.0,52.0,21.0,23.0,31.0,31.0,19.0,17.0,19.0,14.0,3.0,14.0,11.0,7.0,1577.0,1041.0,218.0,132.0,427.0,276.0,900.0,629.0,50.0,0,2.0,0.0,2.0,52.0,360.22402,0.0,0.0,0.0,0.0,2.0,204.78009,0.0,0.0,8.0,0.0,0.0,0.0,682892,318.27411,50,2,0,0,0,319.6960144042969,657514,363.2539978027344,51,1
104850679,İklimlendirme ve Soğutma Teknolojisi,HACETTEPE ÜNİVERSİTESİ,2,TYT,321,17806.0,Başkent Organize Sanayi Bölgesi Teknik Bilimler Meslek Yüksekokulu,,ANKARA,DEVLET,1,50.0,2.0,0.0,0.0,0.0,357.42704,274.60202,1116327.0,52.0,9.0,13.0,43.0,40.0,5.0,8.0,24.0,22.0,11.0,8.0,10.0,12.0,1078.0,937.0,143.0,95.0,263.0,234.0,621.0,528.0,50.0,0,2.0,0.0,2.0,52.0,359.70101,0.0,0.0,0.0,0.0,1.0,275.6463,0.0,0.0,9.0,0.0,1.0,0.0,1083110,284.40663,50,2,0,0,0,297.2430114746094,918707,368.32000732421875,52,0
104850688,İnşaat Teknolojisi,HACETTEPE ÜNİVERSİTESİ,2,TYT,,17807.0,Başkent Organize Sanayi Bölgesi Teknik Bilimler Meslek Yüksekokulu,,ANKARA,DEVLET,1,60.0,2.0,300.83906,264.91075,2.0,372.71696,313.46481,665110.0,60.0,15.0,13.0,47.0,51.0,13.0,11.0,33.0,31.0,7.0,6.0,9.0,12.0,1157.0,782.0,225.0,157.0,400.0,287.0,762.0,536.0,60.0,0,2.0,0.0,2.0,60.0,366.18209,2.0,297.98265,0.0,0.0,2.0,210.16484,0.0,0.0,4.0,0.0,0.0,0.0,666151,320.00106,60,2,0,0,0,321.7959899902344,636450,397.23199462890625,60,2
104890263,Odyoloji,HACETTEPE ÜNİVERSİTESİ,4,SAYISAL,5,3536.0,Sağlık Bilimleri Fakültesi,(KKTC Uyruklu),ANKARA,DEVLET,0,2.0,0.0,0.0,0.0,0.0,306.65931,298.83067,297165.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,8.0,3.0,0.0,10.0,1.0,19.0,5.0,2.0,0,0.0,0.0,0.0,1.0,226.36993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,1,0,0,0,0,253.4080047607422,502560,253.4080047607422,1,0
104890264,Tıp,HACETTEPE ÜNİVERSİTESİ,6,SAYISAL,"5, 22, 23, 24, 155",3542.0,Tıp Fakültesi,(İngilizce) (KKTC Uyruklu),ANKARA,DEVLET,0,1.0,0.0,0.0,0.0,0.0,518.23997,518.23997,7471.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,8.0,8.0,7.0,10.0,8.0,11.0,8.0,1.0,0,0.0,0.0,0.0,1.0,528.46852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4643,528.46852,1,0,0,0,0,455.58099365234375,34640,455.58099365234375,1,0
104890265,Antropoloji,HACETTEPE ÜNİVERSİTESİ,4,EŞİT AĞIRLIK,,3445.0,Edebiyat Fakültesi,,ANKARA,DEVLET,0,60.0,2.0,0.0,0.0,0.0,376.96091,291.90672,466204.0,62.0,36.0,21.0,26.0,33.0,13.0,5.0,22.0,7.0,8.0,16.0,19.0,24.0,998.0,901.0,96.0,108.0,292.0,291.0,648.0,655.0,50.0,0,2.0,0.0,2.0,52.0,361.82119,0.0,0.0,0.0,0.0,2.0,226.58219,0.0,0.0,6.0,0.0,0.0,0.0,390314,303.22431,55,2,0,0,0,303.4010009765625,327570,358.22601318359375,55,2
104890266,İletişim Bilimleri,HACETTEPE ÜNİVERSİTESİ,4,SÖZEL,,3509.0,İletişim Fakültesi,,ANKARA,DEVLET,0,70.0,2.0,0.0,0.0,0.0,432.62663,388.28686,34811.0,72.0,38.0,40.0,34.0,34.0,28.0,29.0,16.0,14.0,12.0,11.0,16.0,18.0,858.0,750.0,158.0,158.0,335.0,336.0,644.0,595.0,70.0,0,2.0,0.0,2.0,72.0,452.43748,0.0,0.0,0.0,0.0,2.0,232.01406,0.0,0.0,2.0,0.0,0.0,0.0,26859,394.10325,75,2,0,0,0,406.3940124511719,25021,474.05999755859375,75,2
104890267,Makine,HACETTEPE ÜNİVERSİTESİ,2,TYT,321,17809.0,Başkent Organize Sanayi Bölgesi Teknik Bilimler Meslek Yüksekokulu,,ANKARA,DEVLET,1,60.0,2.0,287.58086,256.9171,2.0,376.07289,318.90876,615813.0,60.0,2.0,5.0,60.0,57.0,26.0,13.0,27.0,35.0,6.0,7.0,3.0,6.0,2074.0,1444.0,133.0,99.0,549.0,435.0,1446.0,1013.0,60.0,0,2.0,0.0,2.0,60.0,373.76464,2.0,270.88257,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,606572,326.40734,60,2,0,0,0,331.4219970703125,548424,357.8179931640625,60,2
104890268,Makine Mühendisliği,HACETTEPE ÜNİVERSİTESİ,4,SAYISAL,"22, 23, 24, 144",3525.0,Mühendislik Fakültesi,(İngilizce),ANKARA,DEVLET,0,80.0,2.0,481.48999,470.78599,2.0,516.59363,490.77253,23706.0,80.0,10.0,8.0,72.0,74.0,57.0,68.0,24.0,11.0,1.0,3.0,0.0,0.0,1558.0,1546.0,138.0,120.0,460.0,398.0,1104.0,1065.0,80.0,0,0.0,0.0,2.0,80.0,526.01402,2.0,496.56622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17947,501.0933,85,3,0,0,0,487.6189880371094,15819,517.7470092773438,85,3
104890383,Yapay Zeka Mühendisliği,HACETTEPE ÜNİVERSİTESİ,4,SAYISAL,"22, 23, 24, 144, 320",3527.0,Mühendislik Fakültesi,(İngilizce),ANKARA,DEVLET,0,40.0,1.0,521.53668,521.53668,1.0,531.21296,522.30677,5735.0,40.0,11.0,14.0,30.0,27.0,33.0,27.0,8.0,14.0,0.0,0.0,0.0,0.0,1321.0,1292.0,153.0,133.0,468.0,406.0,1012.0,976.0,40.0,0,0.0,0.0,1.0,40.0,537.15817,1.0,528.08506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4574,528.67069,45,2,0,0,0,513.1430053710938,6070,526.3870239257812,45,2
