tablo,inserted,updated,unchanged,friend_null_kept_existing,existing_kept_not_overwritten
data_source_conflicts,0,0,4,0,0
university_student_headcounts,0,0,616,0,0
yok_atlas_benchmark_metrics,4842,0,97680,178,4626
