sebep,source_file,program_code,program_name,university,academic_year,metric,value
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2021.xlsx,206710223,Mühendislik Programları,TED ÜNİVERSİTESİ,2021-2022,placed,35.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2021.xlsx,206710038,İktisadi ve İdari Bilimler Programları,TED ÜNİVERSİTESİ,2021-2022,first_choice_placed,0.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2021.xlsx,206710038,İktisadi ve İdari Bilimler Programları,TED ÜNİVERSİTESİ,2021-2022,first_choice_placements,0.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2021.xlsx,206710038,İktisadi ve İdari Bilimler Programları,TED ÜNİVERSİTESİ,2021-2022,placed_male,10.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2021.xlsx,206710038,İktisadi ve İdari Bilimler Programları,TED ÜNİVERSİTESİ,2021-2022,placed_female,14.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2021.xlsx,206710038,İktisadi ve İdari Bilimler Programları,TED ÜNİVERSİTESİ,2021-2022,quota,24.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2021.xlsx,206710038,İktisadi ve İdari Bilimler Programları,TED ÜNİVERSİTESİ,2021-2022,placed_high_school,12.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2021.xlsx,206710038,İktisadi ve İdari Bilimler Programları,TED ÜNİVERSİTESİ,2021-2022,highest_score,344.5589904785156
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2021.xlsx,206710038,İktisadi ve İdari Bilimler Programları,TED ÜNİVERSİTESİ,2021-2022,placed_graduate,11.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2021.xlsx,206710038,İktisadi ve İdari Bilimler Programları,TED ÜNİVERSİTESİ,2021-2022,base_score,321.92882
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2021.xlsx,206710038,İktisadi ve İdari Bilimler Programları,TED ÜNİVERSİTESİ,2021-2022,success_rank,96464.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2021.xlsx,206710038,İktisadi ve İdari Bilimler Programları,TED ÜNİVERSİTESİ,2021-2022,preference_first,13.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2021.xlsx,206710038,İktisadi ve İdari Bilimler Programları,TED ÜNİVERSİTESİ,2021-2022,preference_top9,154.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2021.xlsx,206710038,İktisadi ve İdari Bilimler Programları,TED ÜNİVERSİTESİ,2021-2022,preference_top3,57.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2021.xlsx,206710038,İktisadi ve İdari Bilimler Programları,TED ÜNİVERSİTESİ,2021-2022,preference_total,204.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2021.xlsx,206710038,İktisadi ve İdari Bilimler Programları,TED ÜNİVERSİTESİ,2021-2022,placed_university_graduate,0.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2021.xlsx,206710038,İktisadi ve İdari Bilimler Programları,TED ÜNİVERSİTESİ,2021-2022,placed_university_student,1.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2021.xlsx,206710038,İktisadi ve İdari Bilimler Programları,TED ÜNİVERSİTESİ,2021-2022,placed,24.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2021.xlsx,206710074,İktisadi ve İdari Bilimler Programları,TED ÜNİVERSİTESİ,2021-2022,first_choice_placed,0.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2021.xlsx,206710074,İktisadi ve İdari Bilimler Programları,TED ÜNİVERSİTESİ,2021-2022,first_choice_placements,0.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2021.xlsx,206710074,İktisadi ve İdari Bilimler Programları,TED ÜNİVERSİTESİ,2021-2022,placed_male,34.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2021.xlsx,206710074,İktisadi ve İdari Bilimler Programları,TED ÜNİVERSİTESİ,2021-2022,placed_female,33.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2021.xlsx,206710074,İktisadi ve İdari Bilimler Programları,TED ÜNİVERSİTESİ,2021-2022,quota,138.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2021.xlsx,206710074,İktisadi ve İdari Bilimler Programları,TED ÜNİVERSİTESİ,2021-2022,placed_high_school,33.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2021.xlsx,206710074,İktisadi ve İdari Bilimler Programları,TED ÜNİVERSİTESİ,2021-2022,highest_score,306.0580139160156
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2021.xlsx,206710074,İktisadi ve İdari Bilimler Programları,TED ÜNİVERSİTESİ,2021-2022,placed_graduate,27.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2021.xlsx,206710074,İktisadi ve İdari Bilimler Programları,TED ÜNİVERSİTESİ,2021-2022,preference_first,18.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2021.xlsx,206710074,İktisadi ve İdari Bilimler Programları,TED ÜNİVERSİTESİ,2021-2022,preference_top9,124.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2021.xlsx,206710074,İktisadi ve İdari Bilimler Programları,TED ÜNİVERSİTESİ,2021-2022,preference_top3,38.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2021.xlsx,206710074,İktisadi ve İdari Bilimler Programları,TED ÜNİVERSİTESİ,2021-2022,preference_total,199.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2021.xlsx,206710074,İktisadi ve İdari Bilimler Programları,TED ÜNİVERSİTESİ,2021-2022,placed_university_graduate,0.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2021.xlsx,206710074,İktisadi ve İdari Bilimler Programları,TED ÜNİVERSİTESİ,2021-2022,placed_university_student,4.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2021.xlsx,206710074,İktisadi ve İdari Bilimler Programları,TED ÜNİVERSİTESİ,2021-2022,placed,67.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710056,Mühendislik Programları,TED ÜNİVERSİTESİ,2022-2023,first_choice_placed,0.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710056,Mühendislik Programları,TED ÜNİVERSİTESİ,2022-2023,first_choice_placements,0.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710056,Mühendislik Programları,TED ÜNİVERSİTESİ,2022-2023,placed_male,27.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710056,Mühendislik Programları,TED ÜNİVERSİTESİ,2022-2023,placed_female,10.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710056,Mühendislik Programları,TED ÜNİVERSİTESİ,2022-2023,quota,37.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710056,Mühendislik Programları,TED ÜNİVERSİTESİ,2022-2023,placed_high_school,20.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710056,Mühendislik Programları,TED ÜNİVERSİTESİ,2022-2023,highest_score,515.09284
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710056,Mühendislik Programları,TED ÜNİVERSİTESİ,2022-2023,placed_graduate,16.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710056,Mühendislik Programları,TED ÜNİVERSİTESİ,2022-2023,base_score,492.98528
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710056,Mühendislik Programları,TED ÜNİVERSİTESİ,2022-2023,success_rank,22181.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710056,Mühendislik Programları,TED ÜNİVERSİTESİ,2022-2023,preference_first,118.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710056,Mühendislik Programları,TED ÜNİVERSİTESİ,2022-2023,preference_top9,681.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710056,Mühendislik Programları,TED ÜNİVERSİTESİ,2022-2023,preference_top3,328.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710056,Mühendislik Programları,TED ÜNİVERSİTESİ,2022-2023,preference_total,875.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710056,Mühendislik Programları,TED ÜNİVERSİTESİ,2022-2023,placed_university_graduate,0.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710056,Mühendislik Programları,TED ÜNİVERSİTESİ,2022-2023,placed_university_student,1.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710056,Mühendislik Programları,TED ÜNİVERSİTESİ,2022-2023,placed,37.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710223,Mühendislik Programları,TED ÜNİVERSİTESİ,2022-2023,first_choice_placed,0.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710223,Mühendislik Programları,TED ÜNİVERSİTESİ,2022-2023,first_choice_placements,0.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710223,Mühendislik Programları,TED ÜNİVERSİTESİ,2022-2023,placed_male,26.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710223,Mühendislik Programları,TED ÜNİVERSİTESİ,2022-2023,placed_female,12.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710223,Mühendislik Programları,TED ÜNİVERSİTESİ,2022-2023,quota,38.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710223,Mühendislik Programları,TED ÜNİVERSİTESİ,2022-2023,placed_high_school,19.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710223,Mühendislik Programları,TED ÜNİVERSİTESİ,2022-2023,highest_score,407.68173
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710223,Mühendislik Programları,TED ÜNİVERSİTESİ,2022-2023,placed_graduate,18.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710223,Mühendislik Programları,TED ÜNİVERSİTESİ,2022-2023,base_score,390.88399
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710223,Mühendislik Programları,TED ÜNİVERSİTESİ,2022-2023,success_rank,116690.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710223,Mühendislik Programları,TED ÜNİVERSİTESİ,2022-2023,preference_first,8.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710223,Mühendislik Programları,TED ÜNİVERSİTESİ,2022-2023,preference_top9,232.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710223,Mühendislik Programları,TED ÜNİVERSİTESİ,2022-2023,preference_top3,59.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710223,Mühendislik Programları,TED ÜNİVERSİTESİ,2022-2023,preference_total,342.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710223,Mühendislik Programları,TED ÜNİVERSİTESİ,2022-2023,placed_university_graduate,0.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710223,Mühendislik Programları,TED ÜNİVERSİTESİ,2022-2023,placed_university_student,0.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710223,Mühendislik Programları,TED ÜNİVERSİTESİ,2022-2023,placed,38.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710507,Mühendislik Programları,TED ÜNİVERSİTESİ,2022-2023,first_choice_placed,0.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710507,Mühendislik Programları,TED ÜNİVERSİTESİ,2022-2023,first_choice_placements,0.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710507,Mühendislik Programları,TED ÜNİVERSİTESİ,2022-2023,placed_male,113.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710507,Mühendislik Programları,TED ÜNİVERSİTESİ,2022-2023,placed_female,57.0
